Variables,Values,Site,Param_means,Param_vars,Param_sd
Salinity,34.61476161,BP,34.61476161,NA,NA
Salinity,34.61480733,W,34.61480733,NA,NA
Salinity,34.61559595,BP,34.61559595,0,0
Salinity,34.61643029,BP,34.61643029,NA,NA
Salinity,34.61700478,W,34.61700478,NA,NA
Salinity,34.61726463,BP,34.61726463,NA,NA
Salinity,34.61788376,W,34.61788376,NA,NA
Salinity,34.61851614,BP,34.61851614,0,0
Salinity,34.61964173,W,34.61964173,0,0
Salinity,34.61976765,BP,34.61976765,0,0
Salinity,34.62060199,BP,34.62060199,NA,NA
Salinity,34.62139969,W,34.62139969,NA,NA
Salinity,34.62352218,BP,34.62352218,NA,NA
Salinity,34.62435652,BP,34.62435652,0,0
Salinity,34.62519086,BP,34.62519086,NA,NA
Salinity,34.62560803,BP,34.62560803,NA,NA
Salinity,34.6260252,BP,34.6260252,NA,NA
Salinity,34.63018951,W,34.63018951,NA,NA
Salinity,34.63061407,BP,34.63061407,0,0
Salinity,34.63103124,BP,34.63103124,NA,NA
Salinity,34.63144841,BP,34.63144841,NA,NA
Salinity,34.63186558,BP,34.63186558,0,0
Salinity,34.63228275,BP,34.63228275,NA,NA
Salinity,34.63395143,BP,34.63395143,NA,NA
Salinity,34.6343686,BP,34.6343686,NA,NA
Salinity,34.63478577,BP,34.63478577,NA,NA
Salinity,34.63520294,BP,34.63520294,NA,NA
Salinity,34.6359029,W,34.6359029,0,0
Salinity,34.63645445,BP,34.63645445,NA,NA
Salinity,34.63687162,BP,34.63687162,NA,NA
Salinity,34.63728879,BP,34.63728879,0,0
Salinity,34.6385403,BP,34.6385403,NA,NA
Salinity,34.63937464,BP,34.63937464,NA,NA
Salinity,34.63979181,BP,34.63979181,0,0
Salinity,34.64104332,BP,34.64104332,NA,NA
Salinity,34.642712,BP,34.642712,NA,NA
Salinity,34.64312917,BP,34.64312917,NA,NA
Salinity,34.64396351,BP,34.64396351,NA,NA
Salinity,34.64521502,BP,34.64521502,NA,NA
Salinity,34.64771804,BP,34.64771804,NA,NA
Salinity,34.6510554,BP,34.6510554,NA,NA
Salinity,34.65397559,BP,34.65397559,0,0
Salinity,34.65898163,BP,34.65898163,0,0
Salinity,34.66148466,BP,34.66148466,NA,NA
Salinity,34.66190183,BP,34.66190183,NA,NA
Salinity,34.66273617,BP,34.66273617,NA,NA
Salinity,34.66607353,BP,34.66607353,0,0
Salinity,34.67149674,BP,34.67149674,NA,NA
Silicate,1.03,W,1.03,0,0
Silicate,1.09,BP,1.09,NA,NA
Silicate,1.16,W,1.16,NA,NA
Silicate,1.22,BP,1.22,0,0
Silicate,1.3,BP,1.3,NA,NA
Silicate,1.32,BP,1.32,NA,NA
Silicate,1.33,BP,1.33,NA,NA
